h3_05,year,orig_time_granularity_count/orig_time_granularity_avg
852aa907fffffff,2017,0.00871839581517000872
852aa907fffffff,2018,0.01044386422976501305
852aa903fffffff,2017,0.00685334533245647433
852aa903fffffff,2018,0.01535290354680503234
852aa8dbfffffff,2016,0.05023978472550275461
852aa8dbfffffff,2017,0.08753880461346358672
852aa8dbfffffff,2018,0.00691134866235023846
852aa8d7fffffff,2016,0.30726798719909438399
852aa8d7fffffff,2017,0.57853059990714044666
852aa8d7fffffff,2018,0.02089551267790369906
852aa8d3fffffff,2016,0.14436126391980057310
852aa8d3fffffff,2017,0.28050180616616729132
852aa8d3fffffff,2018,0.01603545391099954310
852aa8cffffffff,2016,0.18335792164657504039
852aa8cffffffff,2017,0.36470918197853856335
852aa8cffffffff,2018,0.01953747643206514307
852aa8cbfffffff,2016,0.07409502884372210599
852aa8cbfffffff,2017,0.15337727774307116900
852aa8cbfffffff,2018,0.00983570396359828023
852aa8c7fffffff,2016,0.26838027335271444553
852aa8c7fffffff,2017,0.56486785138978867720
852aa8c7fffffff,2018,0.03098018979213914794
852aa8c3fffffff,2016,0.56868382927483104489
852aa8c3fffffff,2017,1.18615633240084169602
852aa8c3fffffff,2018,0.05954207944801961111
852aa8bbfffffff,2016,0.02899481969842201270
852aa8bbfffffff,2017,0.07250180196978256695
852aa8bbfffffff,2018,0.00989577233868134442
852aa8b7fffffff,2016,0.01213730324293571022
852aa8b7fffffff,2017,0.07738584281106773044
852aa8b7fffffff,2018,0.00297627192862420975
852aa8b3fffffff,2016,0.04239161176113211895
852aa8b3fffffff,2017,0.12533418009362164155
852aa8b3fffffff,2018,0.00536852041217651223
852aa8affffffff,2016,0.06031383394456802742
852aa8affffffff,2017,0.11150971599402092676
852aa8affffffff,2018,0.00481816957104026500
852aa8abfffffff,2016,0.00156341606410005863
852aa8abfffffff,2017,0.00378177743539463548
852aa8abfffffff,2018,0.00041554124246831498
852aa8a7fffffff,2016,0.00637455545863249010
852aa8a7fffffff,2017,0.02132126221872334842
852aa8a7fffffff,2018,0.00065928270042194093
852aa8a3fffffff,2016,0.02896557777550214316
852aa8a3fffffff,2017,0.05752862173683685254
852aa8a3fffffff,2018,0.01568671391355500154
