h3_d,pop_dens,geometry
892a10056cbffff,151.0,"POLYGON ((-73.77048677201569 40.775811097778266, -73.77259527952118 40.774876655742474, -73.77253424762999 40.77311546334288, -73.77036486880094 40.77228871148355, -73.76825643704497 40.77322308409877, -73.76831730836815 40.77498427799106, -73.77048677201569 40.775811097778266))"
892a100d93bffff,3294.0,"POLYGON ((-73.92476646017319 40.66612065276972, -73.92686724425653 40.665184542385724, -73.92680057276873 40.6634257478048, -73.92463327700435 40.66260306162903, -73.9225325675583 40.663539102469834, -73.92259907923894 40.6652978990268, -73.92476646017319 40.66612065276972))"
892a100c34bffff,796.0,"POLYGON ((-73.91151312434674 40.7113795519531, -73.913616175116 40.710443192653855, -73.91354993649358 40.70868339868086, -73.91138080721812 40.707859962070884, -73.90927783129557 40.70879625180138, -73.90934390980132 40.710556047707804, -73.91151312434674 40.7113795519531))"
892a1062107ffff,132.0,"POLYGON ((-74.11461945452172 40.608115784979915, -74.11671417100999 40.607176808331644, -74.11664047519835 40.60541928550952, -74.11447222228819 40.60460073676657, -74.11237757931745 40.60553964364824, -74.11245111573885 40.60729716903669, -74.11461945452172 40.608115784979915))"
892a1038427ffff,937.0,"POLYGON ((-73.75408943823425 40.609816554435035, -73.75619080517646 40.60888421643749, -73.75613060262809 40.607126698975776, -73.75396919257548 40.60630151805997, -73.75186790092971 40.60723378682756, -73.75192794403974 40.6089913057381, -73.75408943823425 40.609816554435035))"
892a10c4a03ffff,77.0,"POLYGON ((-73.8041891671501 41.0636943092504, -73.80631004489149 41.062756146825286, -73.80624736277558 41.060988641813715, -73.80406396546748 41.06015929763824, -73.80194316424311 41.06109739030553, -73.80200568380941 41.06286489690328, -73.8041891671501 41.0636943092504))"
892a103b02fffff,2067.0,"POLYGON ((-73.78948330147438 40.645871861364334, -73.79158564015457 40.64493847568288, -73.79152406542973 40.6431801512651, -73.78936031170518 40.64235521096891, -73.78725804826333 40.64328852733083, -73.7873194633073 40.64504685330569, -73.78948330147438 40.645871861364334))"
892a1001d47ffff,889.0,"POLYGON ((-73.81924028643753 40.822184617047306, -73.82134999115823 40.82124876748862, -73.8212870655896 40.819486544738155, -73.81911459618208 40.81866016990101, -73.8170049671195 40.819595949919055, -73.81706773180595 40.82135817431207, -73.81924028643753 40.822184617047306))"
892a100c2d3ffff,1.0,"POLYGON ((-73.91250613565795 40.7377814340547, -73.91461035078136 40.736844768619356, -73.91454403759823 40.735084391421445, -73.91237366958796 40.73426067772043, -73.91026952939056 40.73519727355906, -73.910335682277 40.736957652692624, -73.91250613565795 40.7377814340547))"
892a100d8c3ffff,2581.0,"POLYGON ((-73.94305045215329 40.697331147514255, -73.9451522980613 40.69639435771965, -73.94508489650939 40.694634870446436, -73.94291580906679 40.693812170933235, -73.94081403780504 40.69474889112597, -73.9408812793392 40.69650838043099, -73.94305045215329 40.697331147514255))"
892a100f39bffff,1760.0,"POLYGON ((-73.90738190007053 40.77228615902157, -73.90948775567355 40.77134921311864, -73.9094215861704 40.76958807551308, -73.90724972159671 40.768763881889015, -73.90514394105523 40.769700758168355, -73.90520995002547 40.771461897692525, -73.90738190007053 40.77228615902157))"
892a1075677ffff,1882.0,"POLYGON ((-74.0769008151584 40.62501253686439, -74.07899697818335 40.6240740686736, -74.07892466825464 40.62231617228609, -74.07675635481056 40.621496741637515, -74.07466026554239 40.6224351401003, -74.07473241596102 40.624193038936866, -74.0769008151584 40.62501253686439))"
