h3_d,traffic,geometry
84192a3ffffffff,496.0,"POLYGON ((-4.682103140175848 58.53625947471019, -5.065599479031841 58.476788150200825, -5.114401541045735 58.269714453032805, -4.782541705942945 58.12257035157693, -4.4022224454741385 58.18186565945178, -4.35060302699051 58.38847759060403, -4.682103140175848 58.53625947471019))"
8419731ffffffff,647.0,"POLYGON ((-1.908326825605091 55.55638823241807, -2.2657229572807887 55.49972184526161, -2.322257054880018 55.28712558710526, -2.0237140892759267 55.13174869503424, -1.6692285726567444 55.188394902689446, -1.610391008221987 55.40043560643993, -1.908326825605091 55.55638823241807))"
841942bffffffff,8527.5,"POLYGON ((-0.7500555275465403 53.70312545760413, -1.093244866733979 53.64641708882183, -1.1519878995245472 53.430525415973094, -0.8696217347000935 53.271942064365945, -0.5291713353834577 53.32869998456034, -0.4683625808633799 53.54398956917153, -0.7500555275465403 53.70312545760413))"
8419737ffffffff,1164.0,"POLYGON ((-2.322257054880018 55.28712558710526, -2.678397638085586 55.228634246727154, -2.7331111199996663 55.014798631472935, -2.4340087219451827 54.86000282870409, -2.080737082897575 54.91846417682084, -2.0237140892759267 55.13174869503424, -2.322257054880018 55.28712558710526))"
841942dffffffff,12623.0,"POLYGON ((-1.6090565564501307 54.17706614785891, -1.9566906938824733 54.11862149162413, -2.0128729306382325 53.90277945716153, -1.7235999025298434 53.74595940098855, -1.3787347888982984 53.804416678736246, -1.320388206673679 54.01967903455429, -1.6090565564501307 54.17706614785891))"
84195d7ffffffff,8001.0,"POLYGON ((-1.274442986838768 51.74388859379757, -1.6065644025410095 51.6817727465481, -1.6615334244358186 51.46054525866226, -1.3863540691142426 51.30205040126001, -1.0567757864610072 51.36422214981745, -0.9998465593344867 51.58483083706424, -1.274442986838768 51.74388859379757))"
8419541ffffffff,5572.5,"POLYGON ((-3.645027815430241 55.475034259798285, -4.00423823489189 55.412762316631195, -4.054167119908404 55.19786835787426, -3.7473199735155016 55.045765120388594, -3.3909566243166416 55.107957908433676, -3.3386080966029845 55.32233018567499, -3.645027815430241 55.475034259798285))"
84195bdffffffff,7492.0,"POLYGON ((-3.269135743808343 51.35401160736395, -3.601886449335048 51.28500049834819, -3.649627885402723 51.06029064574157, -3.366690974848194 50.90517214542122, -3.036402633475406 50.97417364697017, -2.9866007657014273 51.198300907861224, -3.269135743808343 51.35401160736395))"
8418741ffffffff,5450.0,"POLYGON ((-4.644286465227518 50.84460414227664, -4.9757819593236565 50.77038739915269, -5.018319907816871 50.542886972081206, -4.731478995508596 50.39015808770044, -4.402362230572684 50.464322481332495, -4.357718726381222 50.69126556708913, -4.644286465227518 50.84460414227664))"
8419091ffffffff,5317.0,"POLYGON ((-4.847937587354297 56.29175944954233, -5.214308427716972 56.22729893483594, -5.26033926916365 56.01336969637799, -4.942594963220131 55.864383089631914, -4.579115169450673 55.92870838080046, -4.530503421958044 56.14215226894941, -4.847937587354297 56.29175944954233))"
8419769ffffffff,9386.5,"POLYGON ((-2.0470042437377822 57.53760176704353, -2.4191802859918137 57.484438877791355, -2.4774126747908296 57.27726577671322, -2.1659918871502364 57.12377982313062, -1.796963201638615 57.17687978537777, -1.7362254610310952 57.38352578830633, -2.0470042437377822 57.53760176704353))"
8419423ffffffff,11338.0,"POLYGON ((-1.1519878995245472 53.430525415973094, -1.4941168030204148 53.37204199185134, -1.5511617890707445 53.15493806844753, -1.2681654753927085 52.99691378235404, -0.9287402393301954 53.05543653710927, -0.8696217347000935 53.271942064365945, -1.1519878995245472 53.430525415973094))"
84195a9ffffffff,5148.5,"POLYGON ((-3.7450965221206105 52.110258505649284, -4.082848689452333 52.04119118138093, -4.129513118199026 51.817626771053575, -3.8405822694203735 51.663689633435816, -3.505343642283591 51.73272257423428, -3.456534537191969 51.95572451333033, -3.7450965221206105 52.110258505649284))"
